"Sent From:","Amount:","To:","Date"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0002 cUSD","0xd2ddefbc2943de379f00917fe8411f7d71580b77","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0001 cUSD","0xd533ca259b330c7a88f74e000a3faea2d63b7972","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.1000 cUSD","0x7db62d75fb80fbd2267418c11c8bf6a8d713d84e","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0003 cUSD","0xb2625af7898f3f3c03959e8c5a2da25740cf32da","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0001 cUSD","0xd533ca259b330c7a88f74e000a3faea2d63b7972","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.3000 cUSD","0x7db62d75fb80fbd2267418c11c8bf6a8d713d84e","Oct 28, 2021"
"0x5011880450029641d38ccab7e0a16d67647aefd1","0.1000 cUSD","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Oct 28, 2021"
"0x5011880450029641d38ccab7e0a16d67647aefd1","0.0010 cUSD","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Oct 28, 2021"
"0x5011880450029641d38ccab7e0a16d67647aefd1","0.0500 cUSD","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Oct 28, 2021"
"0x5011880450029641d38ccab7e0a16d67647aefd1","0.0500 cUSD","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0002 cUSD","0xefc633e5d569ec74c12255d0043f260f51664e94","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0001 cUSD","0xd533ca259b330c7a88f74e000a3faea2d63b7972","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.3000 cUSD","0x5011880450029641d38ccab7e0a16d67647aefd1","Oct 28, 2021"
"0x5011880450029641d38ccab7e0a16d67647aefd1","0.0200 cUSD","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0003 cUSD","0xa09904adf818a9ce4771d4401e592b2758ba2305","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0001 cUSD","0xd533ca259b330c7a88f74e000a3faea2d63b7972","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0300 cUSD","0x5011880450029641d38ccab7e0a16d67647aefd1","Oct 28, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0002 cUSD","0x81c885a48fa2e7d3609e98b44f5ca1080dd43626","Oct 23, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0001 cUSD","0xd533ca259b330c7a88f74e000a3faea2d63b7972","Oct 23, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0000 cUSD","0x1051c82d597334a8c55af238a8005fc8bc630e74","Oct 23, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0005 cUSD","0x351aebcded9240ae77dd0a3987e2110b15e0f038","Oct 18, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0001 cUSD","0xd533ca259b330c7a88f74e000a3faea2d63b7972","Oct 18, 2021"
"0xe1c9e12d71caafdbd9912773f5a207a2179bd8b6","1.7500 cUSD","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Oct 14, 2021"
